,pi (%) ,Tajimas D,d fam ,d rat ,Sites (Mb)
0-fold,0.134,-0.763,0.239,2.93,10.2
4-fold,0.628,-0.627,1.06,12.7,1.49
CNE,0.274,-1.03,0.418,3.67,24.6
CNE flank,0.67,-0.602,1.03,13.8,17.8
UTR,0.438,-0.702,0.802,10,11.3
