,,Exons,,CNEs,
,,Median,95% range,Median,95% range
Model A,Deleterious Mutations,0.0327,0.0311 - 0.0343,0.0164,0.0151 - 0.0179
,Advantageous Mutations,0.0422,0.0403 - 0.0442,0.0177,0.0161 - 0.0195
,Both,0.0312,0.0297 - 0.0340,0.01,0.0088 - 0.0113
Model B,Deleterious Mutations,0.0331,0.0314 - 0.0351,0.0157,0.0144 - 0.0171
,Advantageous Mutations,0.038,0.0355 - 0.0406,0.0162,0.0147 - 0.0179
,Both,0.0274,0.0253 - 0.0294,0.0088,0.0078 - 0.0101
